Age,p5,p10,p25,p50,p75,p85,p90,p95,SD
5,0.79,0.96,1.35,2.03,3.15,4.04,4.81,6.31,2.2
6,1.08,1.32,1.87,2.79,4.25,5.36,6.3,8.04,2.7
7,1.39,1.71,2.43,3.61,5.39,6.71,7.78,9.7,3.4
8,1.75,2.17,3.1,4.58,6.73,8.26,9.48,11.6,4.9
9,2.19,2.74,3.92,5.75,8.32,10.07,11.44,13.78,5
10,2.7,3.38,4.86,7.07,10.06,12.06,13.58,16.14,5.3
11,3.27,4.12,5.89,8.5,11.93,14.17,15.86,18.65,5.8
12,3.9,4.88,6.94,9.91,13.74,16.19,18.04,21.05,6.3
13,4.54,5.65,7.93,11.19,15.34,17.99,19.96,23.16,7.3
14,5.19,6.4,8.86,12.33,16.73,19.51,21.59,24.95,8.5
15,5.84,7.11,9.68,13.31,17.87,20.75,22.89,26.37,6.7
16,6.44,7.76,10.41,14.11,18.75,21.68,23.85,27.38,5.1
17,7.01,8.36,11.06,14.8,19.46,22.4,24.57,28.09,7.6
