Age,p5,p10,p25,p50,p75,p85,p90,p95,SD
5,8.16,9.47,12.13,15.93,20.88,24.13,26.6,30.71,0
6,9.08,10.59,13.6,17.78,23,26.31,28.78,32.8,0
7,10.01,11.74,15.11,19.63,25.1,28.45,30.91,34.83,8.9
8,11.09,13.06,16.83,21.74,27.47,30.89,33.36,37.23,10.01
9,12.25,14.49,18.68,23.98,29.96,33.45,35.93,39.77,9.1
10,13.33,15.83,20.39,26,32.13,35.64,38.1,41.86,10.8
11,14.43,17.18,22.08,27.94,34.19,37.69,40.12,43.81,8.5
12,15.39,18.32,23.45,29.44,35.71,39.18,41.56,45.16,8.2
13,16.47,19.54,24.81,30.85,37.05,40.44,42.76,46.22,7.2
14,17.56,20.71,26.06,32.09,38.21,41.52,43.78,47.14,8.1
15,18.73,21.92,27.27,33.25,39.25,42.49,44.68,47.93,8
16,19.77,22.93,28.19,34.02,39.83,42.95,45.05,48.17,6.6
17,20.75,23.84,28.96,34.59,40.17,43.14,45.15,48.11,7.5
18,21.78,24.8,29.76,35.18,40.52,43.35,45.26,48.07,0
