Age,p3,p10,p25,p50,p75,p90,p97
5,97.2,100.5,103.9,107.5,111.3,115.2,119.3
5.5,99.8,103.2,106.8,110.5,114.4,118.3,122.5
6,102.3,106,109.7,113.5,117.4,121.5,125.6
6.5,104.9,108.7,112.5,116.5,120.5,124.6,128.7
7,107.4,111.4,115.4,119.4,123.5,127.7,131.9
7.5,110,114.1,118.2,122.4,126.6,130.8,135
8,112.6,116.8,121.1,125.4,129.6,133.9,138.1
8.5,115.2,119.6,124,128.4,132.7,137,141.3
9,117.8,122.4,126.9,131.4,135.8,140.2,144.5
9.5,120.5,125.2,129.9,134.4,138.9,143.3,147.6
10,123.3,128.1,132.8,137.4,142,146.4,150.8
10.5,126.1,130.9,135.7,140.4,145,149.5,153.9
11,128.8,133.7,138.6,143.3,147.9,152.4,156.8
11.5,131.5,136.4,141.2,145.9,150.6,155.1,159.6
12,134,138.9,143.7,148.4,153,157.5,162
12.5,136.3,141.1,145.8,150.5,155.1,159.6,164.1
13,138.2,142.9,147.6,152.2,156.8,161.3,165.9
13.5,139.9,144.5,149.1,153.6,158.2,162.7,167.2
14,141.3,145.8,150.2,154.7,159.2,163.7,168.2
14.5,142.4,146.8,151.1,155.5,160,164.5,169
15,143.3,147.5,151.8,156.1,160.5,165,169.5
15.5,144.1,148.1,152.3,156.6,160.9,165.3,169.8
16,144.7,148.6,152.7,156.9,161.2,165.6,170.1
16.5,145.2,149.1,153.1,157.2,161.4,165.7,170.2
17,145.7,149.5,153.4,157.4,161.6,165.9,170.4
17.5,146.2,149.8,153.6,157.6,161.7,166,170.5
18,146.6,150.2,153.9,157.8,161.9,166.1,170.6
