Age,p3,p10,p25,p50,p75,p90,p97
5,12.3,13.4,14.8,16.4,18.5,21.3,25
5.5,13,14.3,15.7,17.6,19.9,22.9,27
6,13.7,15.1,16.7,18.7,21.3,24.6,29.1
6.5,14.4,15.9,17.7,19.9,22.7,26.3,31.2
7,15.1,16.8,18.7,21.2,24.2,28.2,33.4
7.5,15.9,17.7,19.9,22.5,25.9,30.1,35.7
8,16.7,18.7,21.1,24,27.6,32.2,38.1
8.5,17.5,19.7,22.3,25.5,29.5,34.4,40.7
9,18.5,20.9,23.7,27.2,31.5,36.7,43.4
9.5,19.5,22.1,25.3,29,33.6,39.3,46.3
10,20.7,23.5,26.9,31,36,42,49.4
10.5,22,25.1,28.8,33.2,38.4,44.8,52.6
11,23.3,26.7,30.7,35.4,41,47.7,55.9
11.5,24.8,28.4,32.6,37.6,43.6,50.6,59.1
12,26.2,30,34.5,39.8,46,53.4,62.1
12.5,27.6,31.6,36.3,41.8,48.2,55.8,64.8
13,28.9,33.1,37.9,43.6,50.2,57.9,67.1
13.5,30.2,34.4,39.4,45.1,51.8,59.7,69
14,31.3,35.6,40.6,46.4,53.2,61.1,70.4
14.5,32.3,36.6,41.7,47.5,54.3,62.2,71.4
15,33.1,37.5,42.5,48.4,55.1,62.9,72.1
15.5,34,38.3,43.3,49.1,55.8,63.5,72.5
16,34.7,39.1,44,49.7,56.3,64,72.8
16.5,35.5,39.8,44.7,50.3,56.9,64.4,73.1
17,36.2,40.5,45.3,50.9,57.3,64.7,73.3
17.5,36.9,41.1,46,51.5,57.8,65,73.4
18,37.6,41.8,46.6,52,58.2,65.3,73.5
