Age,p5,p10,p25,p50,p75,p85,p90,p95,SD
5,0.91,1.05,1.37,1.9,2.77,3.48,4.11,5.38,3.2
6,0.97,1.14,1.5,2.13,3.17,4.04,4.81,6.4,3.2
7,1.09,1.28,1.72,2.48,3.78,4.87,5.86,7.9,4.1
8,1.26,1.49,2.04,3,4.65,6.07,7.36,10.05,4.7
9,1.46,1.75,2.42,3.62,5.72,7.53,9.18,12.63,5.8
10,1.68,2.03,2.85,4.32,6.91,9.14,11.18,15.42,6.7
11,1.92,2.33,3.31,5.07,8.19,10.86,13.3,18.33,9.4
12,2.15,2.63,3.76,5.82,9.45,12.55,15.38,21.17,9.3
13,2.35,2.88,4.15,6.46,10.54,14.02,17.19,23.67,8.9
14,2.51,3.09,4.47,6.99,11.44,15.25,18.71,25.76,10.8
15,2.64,3.26,4.74,7.46,12.27,16.38,20.11,27.69,9.4
16,2.75,3.42,5.02,7.95,13.14,17.56,21.57,29.7,6.9
17,2.86,3.57,5.29,8.45,14.06,18.82,23.12,31.81,7.5
