Age,p5,p10,p25,p50,p75,p85,p90,p95,SD
5,7.02,7.94,9.84,12.72,16.8,19.72,22.07,26.3,0
6,7.28,8.27,10.34,13.51,18.06,21.34,24.01,28.81,0
7,7.55,8.62,10.87,14.35,19.41,23.08,26.08,31.53,9.2
8,7.85,9,11.44,15.25,20.84,24.92,28.28,34.41,9.8
9,8.14,9.37,12.01,16.14,22.24,26.72,30.42,37.16,9.8
10,8.36,9.68,12.51,16.95,23.52,28.35,32.32,39.58,10.4
11,8.49,9.88,12.88,17.61,24.6,29.73,33.94,41.6,10.6
12,8.49,9.95,13.09,18.04,25.36,30.72,35.1,43.03,11.4
13,8.33,9.84,13.11,18.28,25.92,31.48,36.02,44.19,10.9
14,8.06,9.6,12.95,18.27,26.12,31.83,36.48,44.81,10.1
15,7.73,9.29,12.7,18.14,26.18,32.01,36.75,45.23,12
16,7.39,8.96,12.43,17.98,26.2,32.15,36.98,45.57,10.7
17,7.04,8.63,12.16,17.84,26.22,32.28,37.17,45.84,11.06
18,6.69,8.3,11.9,17.7,26.24,32.38,37.31,46.01,0
