Age,p3,p10,p25,p50,p75,p90,p97
5,99,102.3,105.6,108.9,112.4,115.9,119.4
5.5,101.6,105,108.4,111.9,115.4,119,122.7
6,104.2,107.7,111.2,114.8,118.5,122.2,126
6.5,106.8,110.4,114,117.8,121.6,125.4,129.3
7,109.3,113,116.8,120.7,124.6,128.6,132.6
7.5,111.8,115.7,119.6,123.5,127.6,131.7,135.9
8,114.3,118.2,122.3,126.4,130.5,134.8,139.1
8.5,116.7,120.8,124.9,129.1,133.4,137.8,142.2
9,119,123.2,127.5,131.8,136.3,140.7,145.3
9.5,121.3,125.6,130,134.5,139.1,143.7,148.3
10,123.6,128.1,132.6,137.2,141.9,146.6,151.4
10.5,125.9,130.5,135.2,139.9,144.7,149.5,154.4
11,128.2,133,137.8,142.7,147.6,152.5,157.5
11.5,130.7,135.6,140.6,145.5,150.5,155.6,160.6
12,133.2,138.3,143.3,148.4,153.5,158.6,163.7
12.5,135.7,141,146.2,151.4,156.5,161.7,166.8
13,138.3,143.7,149,154.3,159.5,164.7,169.9
13.5,140.9,146.4,151.8,157.2,162.4,167.6,172.7
14,143.4,149,154.5,159.9,165.1,170.3,175.4
14.5,145.8,151.5,157,162.3,167.6,172.7,177.7
15,148,153.7,159.2,164.5,169.7,174.8,179.7
15.5,150,155.7,161.2,166.5,171.6,176.5,181.4
16,151.8,157.4,162.9,168.1,173.1,178,182.7
16.5,153.4,159.1,164.5,169.6,174.5,179.3,183.8
17,155,160.6,165.9,171,175.8,180.4,184.8
17.5,156.6,162.1,167.3,172.3,177,181.5,185.8
18,158.1,163.6,168.7,173.6,178.2,182.5,186.7
