Age,p3,p10,p25,p50,p75,p90,p97
5,13.2,14.3,15.6,17.1,19,21.3,24.2
5.5,13.8,15,16.5,18.2,20.3,22.9,26.1
6,14.5,15.8,17.4,19.3,21.7,24.6,28.3
6.5,15.3,16.8,18.6,20.7,23.3,26.6,30.8
7,16,17.6,19.6,21.9,24.9,28.6,33.4
7.5,16.7,18.5,20.7,23.3,26.6,30.8,36.2
8,17.5,19.5,21.9,24.8,28.5,33.2,39.4
8.5,18.3,20.5,23.2,26.4,30.5,35.7,42.6
9,19.1,21.5,24.3,27.9,32.3,38,45.5
9.5,19.9,22.4,25.6,29.4,34.3,40.5,48.6
10,20.7,23.5,26.9,31.1,36.3,43,51.8
10.5,21.6,24.6,28.3,32.8,38.5,45.8,55.2
11,22.6,25.9,29.8,34.7,40.9,48.7,58.7
11.5,23.8,27.3,31.6,36.9,43.5,51.8,62.5
12,24.9,28.7,33.3,39,46,54.8,66.1
12.5,26.1,30.2,35.1,41.2,48.6,57.8,69.5
13,27.5,31.8,37,43.3,51.1,60.7,72.6
13.5,29,33.6,39.1,45.7,53.8,63.6,75.6
14,30.7,35.5,41.3,48.2,56.4,66.3,78.3
14.5,32.6,37.7,43.7,50.8,59.1,69.1,80.9
15,34.5,39.8,45.9,53.1,61.6,71.5,83.1
15.5,36.1,41.6,47.9,55.2,63.6,73.4,84.7
16,37.5,43.1,49.5,56.8,65.2,74.8,85.8
16.5,38.7,44.4,50.9,58.2,66.6,76.1,86.8
17,39.8,45.6,52.1,59.5,67.8,77.1,87.5
17.5,40.8,46.7,53.2,60.6,68.7,77.8,88
18,41.8,47.7,54.3,61.6,69.7,78.6,88.4
