Month,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
3,11.3,11.7,11.9,12.5,12.8,13.5,14.2,14.6,15.2,15.5,16
4,11.5,11.9,12.2,12.8,13.1,13.8,14.5,14.9,15.6,15.9,16.4
5,11.7,12.2,12.4,13,13.4,14.1,14.8,15.2,15.9,16.2,16.7
6,11.9,12.3,12.5,13.1,13.5,14.2,15,15.4,16.1,16.4,16.9
7,12,12.4,12.6,13.3,13.6,14.4,15.1,15.5,16.3,16.5,17.1
8,12.1,12.5,12.7,13.3,13.7,14.5,15.2,15.6,16.4,16.7,17.2
9,12.1,12.5,12.8,13.4,13.8,14.5,15.3,15.7,16.5,16.7,17.3
10,12.2,12.6,12.8,13.5,13.8,14.6,15.3,15.8,16.5,16.8,17.4
11,12.2,12.6,12.9,13.5,13.9,14.6,15.4,15.8,16.6,16.9,17.4
12,12.2,12.7,12.9,13.5,13.9,14.6,15.4,15.9,16.6,16.9,17.5
13,12.2,12.7,12.9,13.5,13.9,14.7,15.5,15.9,16.6,16.9,17.5
14,12.3,12.7,12.9,13.6,14,14.7,15.5,15.9,16.7,17,17.6
15,12.3,12.7,13,13.6,14,14.7,15.5,16,16.7,17,17.6
16,12.3,12.8,13,13.6,14,14.8,15.6,16,16.8,17.1,17.7
17,12.4,12.8,13,13.7,14.1,14.8,15.6,16,16.8,17.1,17.7
18,12.4,12.8,13.1,13.7,14.1,14.8,15.6,16.1,16.9,17.2,17.8
19,12.4,12.9,13.1,13.7,14.1,14.9,15.7,16.1,16.9,17.2,17.8
20,12.5,12.9,13.2,13.8,14.2,14.9,15.7,16.2,17,17.3,17.9
21,12.5,13,13.2,13.8,14.2,15,15.8,16.2,17,17.3,17.9
22,12.6,13,13.2,13.9,14.3,15,15.8,16.3,17.1,17.4,18
23,12.6,13.1,13.3,13.9,14.3,15.1,15.9,16.4,17.2,17.5,18.1
24,12.7,13.1,13.3,14,14.4,15.2,16,16.4,17.2,17.5,18.2
25,12.7,13.2,13.4,14,14.4,15.2,16,16.5,17.3,17.6,18.2
26,12.8,13.2,13.4,14.1,14.5,15.3,16.1,16.6,17.4,17.7,18.3
27,12.8,13.3,13.5,14.1,14.5,15.3,16.2,16.6,17.4,17.8,18.4
28,12.9,13.3,13.5,14.2,14.6,15.4,16.2,16.7,17.5,17.8,18.5
29,12.9,13.3,13.6,14.2,14.6,15.4,16.3,16.7,17.6,17.9,18.5
30,12.9,13.4,13.6,14.3,14.7,15.5,16.3,16.8,17.6,18,18.6
31,13,13.4,13.7,14.3,14.7,15.5,16.4,16.9,17.7,18,18.7
32,13,13.5,13.7,14.4,14.8,15.6,16.4,16.9,17.8,18.1,18.8
33,13,13.5,13.7,14.4,14.8,15.6,16.5,17,17.8,18.2,18.8
34,13.1,13.5,13.8,14.4,14.9,15.7,16.5,17,17.9,18.2,18.9
35,13.1,13.6,13.8,14.5,14.9,15.7,16.6,17.1,17.9,18.3,18.9
36,13.1,13.6,13.8,14.5,14.9,15.7,16.6,17.1,18,18.3,19
37,13.1,13.6,13.9,14.5,15,15.8,16.7,17.1,18,18.4,19.1
38,13.2,13.6,13.9,14.6,15,15.8,16.7,17.2,18.1,18.4,19.1
39,13.2,13.7,13.9,14.6,15,15.8,16.7,17.2,18.1,18.5,19.2
40,13.2,13.7,13.9,14.6,15,15.9,16.8,17.3,18.2,18.5,19.2
41,13.2,13.7,14,14.6,15.1,15.9,16.8,17.3,18.2,18.6,19.3
42,13.3,13.7,14,14.7,15.1,15.9,16.9,17.4,18.3,18.6,19.3
43,13.3,13.8,14,14.7,15.1,16,16.9,17.4,18.3,18.7,19.4
44,13.3,13.8,14,14.7,15.2,16,16.9,17.4,18.4,18.7,19.5
45,13.3,13.8,14.1,14.8,15.2,16,17,17.5,18.4,18.8,19.5
46,13.3,13.8,14.1,14.8,15.2,16.1,17,17.5,18.5,18.8,19.6
47,13.4,13.8,14.1,14.8,15.2,16.1,17,17.6,18.5,18.9,19.6
48,13.4,13.9,14.1,14.8,15.3,16.1,17.1,17.6,18.5,18.9,19.7
49,13.4,13.9,14.1,14.9,15.3,16.2,17.1,17.6,18.6,19,19.7
50,13.4,13.9,14.2,14.9,15.3,16.2,17.1,17.7,18.6,19,19.8
51,13.4,13.9,14.2,14.9,15.4,16.2,17.2,17.7,18.7,19.1,19.9
52,13.5,13.9,14.2,14.9,15.4,16.3,17.2,17.8,18.7,19.1,19.9
53,13.5,14,14.2,15,15.4,16.3,17.3,17.8,18.8,19.2,20
54,13.5,14,14.3,15,15.4,16.3,17.3,17.8,18.8,19.2,20
55,13.5,14,14.3,15,15.5,16.4,17.3,17.9,18.9,19.3,20.1
56,13.5,14,14.3,15,15.5,16.4,17.4,17.9,18.9,19.3,20.1
57,13.6,14.1,14.3,15.1,15.5,16.4,17.4,18,19,19.4,20.2
58,13.6,14.1,14.3,15.1,15.5,16.5,17.4,18,19,19.4,20.2
59,13.6,14.1,14.4,15.1,15.6,16.5,17.5,18.1,19.1,19.5,20.3
60,13.6,14.1,14.4,15.1,15.6,16.5,17.5,18.1,19.1,19.5,20.4
