Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:03,3,-0.1733,13.0284,0.08263,10.8,11.2,11.4,12,12.3,13,13.8,14.2,14.9,15.3,15.8
00:04,4,-0.1733,13.3649,0.08298,11.1,11.5,11.7,12.3,12.6,13.4,14.1,14.6,15.3,15.7,16.3
00:05,5,-0.1733,13.6061,0.08325,11.2,11.7,11.9,12.5,12.9,13.6,14.4,14.8,15.6,15.9,16.6
00:06,6,-0.1733,13.7771,0.08343,11.4,11.8,12,12.6,13,13.8,14.6,15,15.8,16.2,16.8
00:07,7,-0.1733,13.9018,0.08352,11.5,11.9,12.1,12.8,13.1,13.9,14.7,15.2,16,16.3,16.9
00:08,8,-0.1733,13.9952,0.08351,11.6,12,12.2,12.8,13.2,14,14.8,15.3,16.1,16.4,17.1
00:09,9,-0.1733,14.0665,0.08342,11.6,12,12.3,12.9,13.3,14.1,14.9,15.3,16.2,16.5,17.1
00:10,10,-0.1733,14.1217,0.08326,11.7,12.1,12.3,13,13.4,14.1,14.9,15.4,16.2,16.6,17.2
00:11,11,-0.1733,14.1667,0.08305,11.7,12.1,12.4,13,13.4,14.2,15,15.5,16.3,16.6,17.2
01:00,12,-0.1733,14.2065,0.0828,11.8,12.2,12.4,13,13.4,14.2,15,15.5,16.3,16.6,17.3
01:01,13,-0.1733,14.2455,0.08254,11.8,12.2,12.5,13.1,13.5,14.2,15.1,15.5,16.3,16.7,17.3
01:02,14,-0.1733,14.2859,0.08227,11.8,12.3,12.5,13.1,13.5,14.3,15.1,15.6,16.4,16.7,17.4
01:03,15,-0.1733,14.3289,0.08202,11.9,12.3,12.5,13.2,13.6,14.3,15.1,15.6,16.4,16.8,17.4
01:04,16,-0.1733,14.3752,0.08179,11.9,12.4,12.6,13.2,13.6,14.4,15.2,15.7,16.5,16.8,17.4
01:05,17,-0.1733,14.4254,0.0816,12,12.4,12.6,13.3,13.7,14.4,15.2,15.7,16.5,16.9,17.5
01:06,18,-0.1733,14.4795,0.08143,12,12.4,12.7,13.3,13.7,14.5,15.3,15.8,16.6,16.9,17.6
01:07,19,-0.1733,14.5372,0.08131,12.1,12.5,12.7,13.4,13.8,14.5,15.4,15.8,16.6,17,17.6
01:08,20,-0.1733,14.5987,0.08123,12.1,12.6,12.8,13.4,13.8,14.6,15.4,15.9,16.7,17,17.7
01:09,21,-0.1733,14.6639,0.08118,12.2,12.6,12.9,13.5,13.9,14.7,15.5,16,16.8,17.1,17.8
01:10,22,-0.1733,14.7328,0.08118,12.2,12.7,12.9,13.6,14,14.7,15.6,16,16.9,17.2,17.9
01:11,23,-0.1733,14.8049,0.08121,12.3,12.7,13,13.6,14,14.8,15.6,16.1,16.9,17.3,17.9
02:00,24,-0.1733,14.8795,0.08127,12.4,12.8,13,13.7,14.1,14.9,15.7,16.2,17,17.4,18
02:01,25,-0.1733,14.9559,0.08136,12.4,12.9,13.1,13.8,14.2,15,15.8,16.3,17.1,17.5,18.1
02:02,26,-0.1733,15.0327,0.08147,12.5,12.9,13.2,13.8,14.2,15,15.9,16.4,17.2,17.6,18.2
02:03,27,-0.1733,15.1085,0.08161,12.5,13,13.2,13.9,14.3,15.1,16,16.5,17.3,17.7,18.3
02:04,28,-0.1733,15.1817,0.08178,12.6,13,13.3,14,14.4,15.2,16,16.5,17.4,17.7,18.4
02:05,29,-0.1733,15.2514,0.08196,12.6,13.1,13.3,14,14.4,15.3,16.1,16.6,17.5,17.8,18.5
02:06,30,-0.1733,15.3168,0.08217,12.7,13.2,13.4,14.1,14.5,15.3,16.2,16.7,17.6,17.9,18.6
02:07,31,-0.1733,15.3779,0.0824,12.7,13.2,13.4,14.1,14.6,15.4,16.3,16.8,17.6,18,18.7
02:08,32,-0.1733,15.4351,0.08265,12.8,13.2,13.5,14.2,14.6,15.4,16.3,16.8,17.7,18.1,18.8
02:09,33,-0.1733,15.4895,0.08292,12.8,13.3,13.5,14.2,14.7,15.5,16.4,16.9,17.8,18.1,18.8
02:10,34,-0.1733,15.5423,0.0832,12.8,13.3,13.6,14.3,14.7,15.5,16.4,17,17.9,18.2,18.9
02:11,35,-0.1733,15.5941,0.08351,12.9,13.4,13.6,14.3,14.7,15.6,16.5,17,17.9,18.3,19
03:00,36,-0.1733,15.6456,0.08383,12.9,13.4,13.7,14.4,14.8,15.6,16.6,17.1,18,18.4,19.1
03:01,37,-0.1733,15.6969,0.08416,12.9,13.4,13.7,14.4,14.8,15.7,16.6,17.1,18.1,18.4,19.2
03:02,38,-0.1733,15.7483,0.08451,13,13.5,13.7,14.4,14.9,15.7,16.7,17.2,18.1,18.5,19.2
03:03,39,-0.1733,15.7997,0.08487,13,13.5,13.8,14.5,14.9,15.8,16.7,17.3,18.2,18.6,19.3
03:04,40,-0.1733,15.8509,0.08525,13,13.5,13.8,14.5,15,15.9,16.8,17.3,18.3,18.6,19.4
03:05,41,-0.1733,15.9016,0.08563,13.1,13.6,13.8,14.6,15,15.9,16.9,17.4,18.3,18.7,19.5
03:06,42,-0.1733,15.9518,0.08602,13.1,13.6,13.9,14.6,15.1,16,16.9,17.5,18.4,18.8,19.6
