Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
0:00,0,-0.3053,13.4069,0.0956,10.8,11.3,11.5,12.2,12.6,13.4,14.3,14.8,15.8,16.1,16.9
0:01,1,0.2708,14.9441,0.09027,12,12.6,12.8,13.6,14.1,14.9,15.9,16.4,17.3,17.6,18.3
0:02,2,0.1118,16.3195,0.08677,13.3,13.8,14.1,14.9,15.4,16.3,17.3,17.8,18.8,19.2,19.9
0:03,3,0.0068,16.8987,0.08495,13.9,14.4,14.7,15.5,16,16.9,17.9,18.5,19.4,19.8,20.6
0:04,4,-0.0727,17.1579,0.08378,14.1,14.7,15,15.7,16.2,17.2,18.2,18.7,19.7,20.1,20.9
0:05,5,-0.137,17.2919,0.08296,14.3,14.8,15.1,15.9,16.4,17.3,18.3,18.9,19.8,20.2,21
0:06,6,-0.1913,17.3422,0.08234,14.4,14.9,15.2,15.9,16.4,17.3,18.3,18.9,19.9,20.3,21.1
0:07,7,-0.2385,17.3288,0.08183,14.4,14.9,15.2,15.9,16.4,17.3,18.3,18.9,19.9,20.3,21.1
0:08,8,-0.2802,17.2647,0.0814,14.4,14.9,15.1,15.9,16.3,17.3,18.2,18.8,19.8,20.2,21
0:09,9,-0.3176,17.1662,0.08102,14.3,14.8,15.1,15.8,16.3,17.2,18.1,18.7,19.7,20.1,20.8
0:10,10,-0.3516,17.0488,0.08068,14.2,14.7,15,15.7,16.2,17,18,18.6,19.5,19.9,20.7
0:11,11,-0.3828,16.9239,0.08037,14.1,14.6,14.9,15.6,16,16.9,17.9,18.4,19.4,19.8,20.5
1:00,12,-0.4115,16.7981,0.08009,14,14.5,14.8,15.5,15.9,16.8,17.7,18.3,19.2,19.6,20.4
1:01,13,-0.4382,16.6743,0.07982,13.9,14.4,14.7,15.4,15.8,16.7,17.6,18.1,19.1,19.5,20.2
1:02,14,-0.463,16.5548,0.07958,13.9,14.3,14.6,15.3,15.7,16.6,17.5,18,18.9,19.3,20.1
1:03,15,-0.4863,16.4409,0.07935,13.8,14.2,14.5,15.2,15.6,16.4,17.4,17.9,18.8,19.2,19.9
1:04,16,-0.5082,16.3335,0.07913,13.7,14.2,14.4,15.1,15.5,16.3,17.2,17.8,18.7,19.1,19.8
1:05,17,-0.5289,16.2329,0.07892,13.6,14.1,14.3,15,15.4,16.2,17.1,17.6,18.6,18.9,19.7
1:06,18,-0.5484,16.1392,0.07873,13.6,14,14.2,14.9,15.3,16.1,17,17.5,18.5,18.8,19.6
1:07,19,-0.5669,16.0528,0.07854,13.5,13.9,14.2,14.8,15.2,16.1,16.9,17.4,18.4,18.7,19.5
1:08,20,-0.5846,15.9743,0.07836,13.4,13.9,14.1,14.8,15.2,16,16.9,17.4,18.3,18.6,19.4
1:09,21,-0.6014,15.9039,0.07818,13.4,13.8,14.1,14.7,15.1,15.9,16.8,17.3,18.2,18.6,19.3
1:10,22,-0.6174,15.8412,0.07802,13.3,13.8,14,14.6,15,15.8,16.7,17.2,18.1,18.5,19.2
1:11,23,-0.6328,15.7852,0.07786,13.3,13.7,14,14.6,15,15.8,16.7,17.1,18,18.4,19.1
2:00,24,-0.6473,15.7356,0.07771,13.3,13.7,13.9,14.5,14.9,15.7,16.6,17.1,18,18.3,19.1
2:01,25,-0.584,15.98,0.07792,13.5,13.9,14.1,14.8,15.2,16,16.9,17.4,18.3,18.6,19.4
2:02,26,-0.5497,15.9414,0.078,13.4,13.8,14.1,14.7,15.1,15.9,16.8,17.3,18.2,18.6,19.3
2:03,27,-0.5166,15.9036,0.07808,13.4,13.8,14,14.7,15.1,15.9,16.8,17.3,18.2,18.5,19.2
2:04,28,-0.485,15.8667,0.07818,13.3,13.8,14,14.7,15.1,15.9,16.7,17.2,18.1,18.5,19.2
2:05,29,-0.4552,15.8306,0.07829,13.3,13.7,14,14.6,15,15.8,16.7,17.2,18.1,18.4,19.1
2:06,30,-0.4274,15.7953,0.07841,13.3,13.7,13.9,14.6,15,15.8,16.7,17.2,18,18.4,19.1
2:07,31,-0.4016,15.7606,0.07854,13.2,13.7,13.9,14.5,15,15.8,16.6,17.1,18,18.4,19.1
2:08,32,-0.3782,15.7267,0.07867,13.2,13.6,13.9,14.5,14.9,15.7,16.6,17.1,18,18.3,19
2:09,33,-0.3572,15.6934,0.07882,13.1,13.6,13.8,14.5,14.9,15.7,16.6,17,17.9,18.3,19
2:10,34,-0.3388,15.661,0.07897,13.1,13.5,13.8,14.4,14.9,15.7,16.5,17,17.9,18.2,18.9
2:11,35,-0.3231,15.6294,0.07914,13.1,13.5,13.8,14.4,14.8,15.6,16.5,17,17.9,18.2,18.9
3:00,36,-0.3101,15.5988,0.07931,13,13.5,13.7,14.4,14.8,15.6,16.5,17,17.8,18.2,18.9
3:01,37,-0.3,15.5693,0.0795,13,13.5,13.7,14.4,14.8,15.6,16.4,16.9,17.8,18.1,18.8
3:02,38,-0.2927,15.541,0.07969,13,13.4,13.7,14.3,14.7,15.5,16.4,16.9,17.8,18.1,18.8
3:03,39,-0.2884,15.514,0.0799,12.9,13.4,13.6,14.3,14.7,15.5,16.4,16.9,17.7,18.1,18.8
3:04,40,-0.2869,15.4885,0.08012,12.9,13.4,13.6,14.3,14.7,15.5,16.4,16.8,17.7,18.1,18.8
3:05,41,-0.2881,15.4645,0.08036,12.9,13.3,13.6,14.2,14.7,15.5,16.3,16.8,17.7,18,18.7
3:06,42,-0.2919,15.442,0.08061,12.9,13.3,13.6,14.2,14.6,15.4,16.3,16.8,17.7,18,18.7
3:07,43,-0.2981,15.421,0.08087,12.8,13.3,13.5,14.2,14.6,15.4,16.3,16.8,17.7,18,18.7
3:08,44,-0.3067,15.4013,0.08115,12.8,13.3,13.5,14.2,14.6,15.4,16.3,16.8,17.7,18,18.7
3:09,45,-0.3174,15.3827,0.08144,12.8,13.2,13.5,14.2,14.6,15.4,16.3,16.8,17.6,18,18.7
3:10,46,-0.3303,15.3652,0.08174,12.8,13.2,13.5,14.1,14.5,15.4,16.2,16.7,17.6,18,18.7
3:11,47,-0.3452,15.3485,0.08205,12.8,13.2,13.5,14.1,14.5,15.3,16.2,16.7,17.6,18,18.7
4:00,48,-0.3622,15.3326,0.08238,12.7,13.2,13.4,14.1,14.5,15.3,16.2,16.7,17.6,18,18.7
4:01,49,-0.3811,15.3174,0.08272,12.7,13.2,13.4,14.1,14.5,15.3,16.2,16.7,17.6,18,18.7
4:02,50,-0.4019,15.3029,0.08307,12.7,13.2,13.4,14.1,14.5,15.3,16.2,16.7,17.6,18,18.7
4:03,51,-0.4245,15.2891,0.08343,12.7,13.1,13.4,14,14.5,15.3,16.2,16.7,17.6,18,18.7
4:04,52,-0.4488,15.2759,0.0838,12.7,13.1,13.4,14,14.4,15.3,16.2,16.7,17.6,18,18.7
4:05,53,-0.4747,15.2633,0.08418,12.7,13.1,13.3,14,14.4,15.3,16.2,16.7,17.6,18,18.7
4:06,54,-0.5019,15.2514,0.08457,12.6,13.1,13.3,14,14.4,15.3,16.2,16.7,17.6,18,18.8
4:07,55,-0.5303,15.24,0.08496,12.6,13.1,13.3,14,14.4,15.2,16.2,16.7,17.6,18,18.8
4:08,56,-0.5599,15.2291,0.08536,12.6,13.1,13.3,14,14.4,15.2,16.1,16.7,17.6,18,18.8
4:09,57,-0.5905,15.2188,0.08577,12.6,13,13.3,14,14.4,15.2,16.1,16.7,17.6,18,18.8
4:10,58,-0.6223,15.2091,0.08617,12.6,13,13.3,13.9,14.4,15.2,16.1,16.7,17.6,18,18.8
4:11,59,-0.6552,15.2,0.08659,12.6,13,13.3,13.9,14.4,15.2,16.1,16.7,17.7,18.1,18.9
5:00,60,-0.6892,15.1916,0.087,12.6,13,13.3,13.9,14.3,15.2,16.1,16.7,17.7,18.1,18.9
