Year: Month,Month,L,M,S,SD,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:00,0,1,34.4618,0.03686,1.2703,31.5,32.1,32.4,33.1,33.6,34.5,35.3,35.8,36.6,36.9,37.4
00:01,1,1,37.2759,0.03133,1.1679,34.6,35.1,35.4,36.1,36.5,37.3,38.1,38.5,39.2,39.5,40
00:02,2,1,39.1285,0.02997,1.1727,36.4,36.9,37.2,37.9,38.3,39.1,39.9,40.3,41.1,41.3,41.9
00:03,3,1,40.5135,0.02918,1.1822,37.8,38.3,38.6,39.3,39.7,40.5,41.3,41.7,42.5,42.7,43.3
00:04,4,1,41.6317,0.02868,1.194,38.9,39.4,39.7,40.4,40.8,41.6,42.4,42.9,43.6,43.9,44.4
00:05,5,1,42.5576,0.02837,1.2074,39.7,40.3,40.6,41.3,41.7,42.6,43.4,43.8,44.5,44.8,45.4
00:06,6,1,43.3306,0.02817,1.2206,40.5,41,41.3,42.1,42.5,43.3,44.2,44.6,45.3,45.6,46.2
00:07,7,1,43.9803,0.02804,1.2332,41.1,41.7,42,42.7,43.1,44,44.8,45.3,46,46.3,46.8
00:08,8,1,44.53,0.02796,1.2451,41.6,42.2,42.5,43.2,43.7,44.5,45.4,45.8,46.6,46.9,47.4
00:09,9,1,44.9998,0.02792,1.2564,42.1,42.6,42.9,43.7,44.2,45,45.8,46.3,47.1,47.4,47.9
00:10,10,1,45.4051,0.0279,1.2668,42.5,43,43.3,44.1,44.6,45.4,46.3,46.7,47.5,47.8,48.4
00:11,11,1,45.7573,0.02789,1.2762,42.8,43.4,43.7,44.4,44.9,45.8,46.6,47.1,47.9,48.2,48.7
01:00,12,1,46.0661,0.02789,1.2848,43.1,43.6,44,44.7,45.2,46.1,46.9,47.4,48.2,48.5,49.1
01:01,13,1,46.3395,0.02789,1.2924,43.3,43.9,44.2,45,45.5,46.3,47.2,47.7,48.5,48.8,49.3
01:02,14,1,46.5844,0.02791,1.3002,43.6,44.1,44.4,45.2,45.7,46.6,47.5,47.9,48.7,49,49.6
01:03,15,1,46.806,0.02792,1.3068,43.8,44.3,44.7,45.5,45.9,46.8,47.7,48.2,49,49.3,49.8
01:04,16,1,47.0088,0.02795,1.3139,44,44.5,44.8,45.6,46.1,47,47.9,48.4,49.2,49.5,50.1
01:05,17,1,47.1962,0.02797,1.3201,44.1,44.7,45,45.8,46.3,47.2,48.1,48.6,49.4,49.7,50.3
01:06,18,1,47.3711,0.028,1.3264,44.3,44.9,45.2,46,46.5,47.4,48.3,48.7,49.6,49.9,50.5
01:07,19,1,47.5357,0.02803,1.3324,44.4,45,45.3,46.2,46.6,47.5,48.4,48.9,49.7,50,50.6
01:08,20,1,47.6919,0.02806,1.3382,44.6,45.2,45.5,46.3,46.8,47.7,48.6,49.1,49.9,50.2,50.8
01:09,21,1,47.8408,0.0281,1.3443,44.7,45.3,45.6,46.4,46.9,47.8,48.7,49.2,50.1,50.4,51
01:10,22,1,47.9833,0.02813,1.3498,44.8,45.4,45.8,46.6,47.1,48,48.9,49.4,50.2,50.5,51.1
01:11,23,1,48.1201,0.02817,1.3555,45,45.6,45.9,46.7,47.2,48.1,49,49.5,50.3,50.7,51.3
02:00,24,1,48.2515,0.02821,1.3612,45.1,45.7,46,46.8,47.3,48.3,49.2,49.7,50.5,50.8,51.4
02:01,25,1,48.3777,0.02825,1.3667,45.2,45.8,46.1,47,47.5,48.4,49.3,49.8,50.6,50.9,51.6
02:02,26,1,48.4989,0.0283,1.3725,45.3,45.9,46.2,47.1,47.6,48.5,49.4,49.9,50.8,51.1,51.7
02:03,27,1,48.6151,0.02834,1.3778,45.4,46,46.3,47.2,47.7,48.6,49.5,50,50.9,51.2,51.8
02:04,28,1,48.7264,0.02838,1.3829,45.5,46.1,46.5,47.3,47.8,48.7,49.7,50.2,51,51.3,51.9
02:05,29,1,48.8331,0.02842,1.3878,45.6,46.2,46.6,47.4,47.9,48.8,49.8,50.3,51.1,51.4,52.1
02:06,30,1,48.9351,0.02847,1.3932,45.7,46.3,46.6,47.5,48,48.9,49.9,50.4,51.2,51.6,52.2
02:07,31,1,49.0327,0.02851,1.3979,45.8,46.4,46.7,47.6,48.1,49,50,50.5,51.3,51.7,52.3
02:08,32,1,49.126,0.02855,1.4026,45.9,46.5,46.8,47.7,48.2,49.1,50.1,50.6,51.4,51.8,52.4
02:09,33,1,49.2153,0.02859,1.4071,45.9,46.6,46.9,47.8,48.3,49.2,50.2,50.7,51.5,51.9,52.5
02:10,34,1,49.3007,0.02863,1.4115,46,46.6,47,47.8,48.3,49.3,50.3,50.8,51.6,52,52.6
02:11,35,1,49.3826,0.02867,1.4158,46.1,46.7,47.1,47.9,48.4,49.4,50.3,50.8,51.7,52,52.7
03:00,36,1,49.4612,0.02871,1.42,46.2,46.8,47.1,48,48.5,49.5,50.4,50.9,51.8,52.1,52.8
03:01,37,1,49.5367,0.02875,1.4242,46.2,46.9,47.2,48.1,48.6,49.5,50.5,51,51.9,52.2,52.8
03:02,38,1,49.6093,0.02878,1.4278,46.3,46.9,47.3,48.1,48.6,49.6,50.6,51.1,52,52.3,52.9
03:03,39,1,49.6791,0.02882,1.4318,46.3,47,47.3,48.2,48.7,49.7,50.6,51.2,52,52.4,53
03:04,40,1,49.7465,0.02886,1.4357,46.4,47,47.4,48.3,48.8,49.7,50.7,51.2,52.1,52.4,53.1
03:05,41,1,49.8116,0.02889,1.4391,46.5,47.1,47.4,48.3,48.8,49.8,50.8,51.3,52.2,52.5,53.2
03:06,42,1,49.8745,0.02893,1.4429,46.5,47.2,47.5,48.4,48.9,49.9,50.8,51.4,52.2,52.6,53.2
03:07,43,1,49.9354,0.02896,1.4461,46.6,47.2,47.6,48.4,49,49.9,50.9,51.4,52.3,52.7,53.3
03:08,44,1,49.9942,0.02899,1.4493,46.6,47.3,47.6,48.5,49,50,51,51.5,52.4,52.7,53.4
03:09,45,1,50.0512,0.02903,1.453,46.7,47.3,47.7,48.5,49.1,50.1,51,51.6,52.4,52.8,53.4
03:10,46,1,50.1064,0.02906,1.4561,46.7,47.4,47.7,48.6,49.1,50.1,51.1,51.6,52.5,52.8,53.5
03:11,47,1,50.1598,0.02909,1.4592,46.8,47.4,47.8,48.6,49.2,50.2,51.1,51.7,52.6,52.9,53.6
04:00,48,1,50.2115,0.02912,1.4622,46.8,47.5,47.8,48.7,49.2,50.2,51.2,51.7,52.6,53,53.6
04:01,49,1,50.2617,0.02915,1.4651,46.9,47.5,47.9,48.7,49.3,50.3,51.2,51.8,52.7,53,53.7
04:02,50,1,50.3105,0.02918,1.4681,46.9,47.5,47.9,48.8,49.3,50.3,51.3,51.8,52.7,53.1,53.7
04:03,51,1,50.3578,0.02921,1.471,46.9,47.6,47.9,48.8,49.4,50.4,51.3,51.9,52.8,53.1,53.8
04:04,52,1,50.4039,0.02924,1.4738,47,47.6,48,48.9,49.4,50.4,51.4,51.9,52.8,53.2,53.8
04:05,53,1,50.4488,0.02927,1.4766,47,47.7,48,48.9,49.5,50.4,51.4,52,52.9,53.2,53.9
04:06,54,1,50.4926,0.02929,1.4789,47.1,47.7,48.1,49,49.5,50.5,51.5,52,52.9,53.3,53.9
04:07,55,1,50.5354,0.02932,1.4817,47.1,47.7,48.1,49,49.5,50.5,51.5,52.1,53,53.3,54
04:08,56,1,50.5772,0.02935,1.4844,47.1,47.8,48.1,49,49.6,50.6,51.6,52.1,53,53.4,54
04:09,57,1,50.6183,0.02938,1.4872,47.2,47.8,48.2,49.1,49.6,50.6,51.6,52.2,53.1,53.4,54.1
04:10,58,1,50.6587,0.0294,1.4894,47.2,47.9,48.2,49.1,49.7,50.7,51.7,52.2,53.1,53.5,54.1
04:11,59,1,50.6984,0.02943,1.4921,47.2,47.9,48.2,49.2,49.7,50.7,51.7,52.2,53.2,53.5,54.2
05:00,60,1,50.7375,0.02946,1.4947,47.3,47.9,48.3,49.2,49.7,50.7,51.7,52.3,53.2,53.5,54.2
