Year: Month,Month,L,M,S,SD,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:00,0,1,33.8787,0.03496,1.1844,31.1,31.7,31.9,32.7,33.1,33.9,34.7,35.1,35.8,36.1,36.6
00:01,1,1,36.5463,0.0321,1.1731,33.8,34.3,34.6,35.3,35.8,36.5,37.3,37.8,38.5,38.8,39.3
00:02,2,1,38.2521,0.03168,1.2118,35.4,36,36.3,37,37.4,38.3,39.1,39.5,40.2,40.5,41.1
00:03,3,1,39.5328,0.0314,1.2413,36.6,37.2,37.5,38.2,38.7,39.5,40.4,40.8,41.6,41.9,42.4
00:04,4,1,40.5817,0.03119,1.2657,37.6,38.2,38.5,39.3,39.7,40.6,41.4,41.9,42.7,43,43.5
00:05,5,1,41.459,0.03102,1.2861,38.5,39,39.3,40.1,40.6,41.5,42.3,42.8,43.6,43.9,44.5
00:06,6,1,42.1995,0.03087,1.3027,39.2,39.7,40.1,40.8,41.3,42.2,43.1,43.5,44.3,44.6,45.2
00:07,7,1,42.829,0.03075,1.317,39.8,40.4,40.7,41.5,41.9,42.8,43.7,44.2,45,45.3,45.9
00:08,8,1,43.3671,0.03063,1.3283,40.3,40.9,41.2,42,42.5,43.4,44.3,44.7,45.6,45.9,46.5
00:09,9,1,43.83,0.03053,1.3381,40.7,41.3,41.6,42.4,42.9,43.8,44.7,45.2,46,46.3,46.9
00:10,10,1,44.2319,0.03044,1.3464,41.1,41.7,42,42.8,43.3,44.2,45.1,45.6,46.4,46.8,47.4
00:11,11,1,44.5844,0.03035,1.3531,41.4,42,42.4,43.2,43.7,44.6,45.5,46,46.8,47.1,47.7
01:00,12,1,44.8965,0.03027,1.359,41.7,42.3,42.7,43.5,44,44.9,45.8,46.3,47.1,47.5,48.1
01:01,13,1,45.1752,0.03019,1.3638,42,42.6,42.9,43.8,44.3,45.2,46.1,46.6,47.4,47.7,48.3
01:02,14,1,45.4265,0.03012,1.3683,42.2,42.9,43.2,44,44.5,45.4,46.3,46.8,47.7,48,48.6
01:03,15,1,45.6551,0.03006,1.3724,42.5,43.1,43.4,44.2,44.7,45.7,46.6,47.1,47.9,48.2,48.8
01:04,16,1,45.865,0.02999,1.3755,42.7,43.3,43.6,44.4,44.9,45.9,46.8,47.3,48.1,48.5,49.1
01:05,17,1,46.0598,0.02993,1.3786,42.9,43.5,43.8,44.6,45.1,46.1,47,47.5,48.3,48.7,49.3
01:06,18,1,46.2424,0.02987,1.3813,43,43.6,44,44.8,45.3,46.2,47.2,47.7,48.5,48.8,49.5
01:07,19,1,46.4152,0.02982,1.3841,43.2,43.8,44.1,45,45.5,46.4,47.3,47.8,48.7,49,49.6
01:08,20,1,46.5801,0.02977,1.3867,43.4,44,44.3,45.1,45.6,46.6,47.5,48,48.9,49.2,49.8
01:09,21,1,46.7384,0.02972,1.3891,43.5,44.1,44.5,45.3,45.8,46.7,47.7,48.2,49,49.4,50
01:10,22,1,46.8913,0.02967,1.3913,43.7,44.3,44.6,45.4,46,46.9,47.8,48.3,49.2,49.5,50.1
01:11,23,1,47.0391,0.02962,1.3933,43.8,44.4,44.7,45.6,46.1,47,48,48.5,49.3,49.7,50.3
02:00,24,1,47.1822,0.02957,1.3952,43.9,44.6,44.9,45.7,46.2,47.2,48.1,48.6,49.5,49.8,50.4
02:01,25,1,47.3204,0.02953,1.3974,44.1,44.7,45,45.9,46.4,47.3,48.3,48.8,49.6,49.9,50.6
02:02,26,1,47.4536,0.02949,1.3994,44.2,44.8,45.2,46,46.5,47.5,48.4,48.9,49.8,50.1,50.7
02:03,27,1,47.5817,0.02945,1.4013,44.3,44.9,45.3,46.1,46.6,47.6,48.5,49,49.9,50.2,50.8
02:04,28,1,47.7045,0.02941,1.403,44.4,45.1,45.4,46.3,46.8,47.7,48.7,49.2,50,50.3,51
02:05,29,1,47.8219,0.02937,1.4045,44.6,45.2,45.5,46.4,46.9,47.8,48.8,49.3,50.1,50.5,51.1
02:06,30,1,47.934,0.02933,1.4059,44.7,45.3,45.6,46.5,47,47.9,48.9,49.4,50.2,50.6,51.2
02:07,31,1,48.041,0.02929,1.4071,44.8,45.4,45.7,46.6,47.1,48,49,49.5,50.4,50.7,51.3
02:08,32,1,48.1432,0.02926,1.4087,44.9,45.5,45.8,46.7,47.2,48.1,49.1,49.6,50.5,50.8,51.4
02:09,33,1,48.2408,0.02922,1.4096,45,45.6,45.9,46.8,47.3,48.2,49.2,49.7,50.6,50.9,51.5
02:10,34,1,48.3343,0.02919,1.4109,45.1,45.7,46,46.9,47.4,48.3,49.3,49.8,50.7,51,51.6
02:11,35,1,48.4239,0.02915,1.4116,45.1,45.8,46.1,47,47.5,48.4,49.4,49.9,50.7,51.1,51.7
03:00,36,1,48.5099,0.02912,1.4126,45.2,45.9,46.2,47,47.6,48.5,49.5,50,50.8,51.2,51.8
03:01,37,1,48.5926,0.02909,1.4136,45.3,45.9,46.3,47.1,47.6,48.6,49.5,50.1,50.9,51.3,51.9
03:02,38,1,48.6722,0.02906,1.4144,45.4,46,46.3,47.2,47.7,48.7,49.6,50.1,51,51.3,52
03:03,39,1,48.7489,0.02903,1.4152,45.5,46.1,46.4,47.3,47.8,48.7,49.7,50.2,51.1,51.4,52
03:04,40,1,48.8228,0.029,1.4159,45.5,46.2,46.5,47.4,47.9,48.8,49.8,50.3,51.2,51.5,52.1
03:05,41,1,48.8941,0.02897,1.4165,45.6,46.2,46.6,47.4,47.9,48.9,49.8,50.4,51.2,51.6,52.2
03:06,42,1,48.9629,0.02894,1.417,45.7,46.3,46.6,47.5,48,49,49.9,50.4,51.3,51.6,52.3
03:07,43,1,49.0294,0.02891,1.4174,45.7,46.4,46.7,47.6,48.1,49,50,50.5,51.4,51.7,52.3
