Year: Month,Month,L,M,S,SD,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
0:00,0,1,49.1477,0.0379,1.8627,44.8,45.6,46.1,47.2,47.9,49.1,50.4,51.1,52.2,52.7,53.5
0:01,1,1,53.6872,0.0364,1.9542,49.1,50,50.5,51.7,52.4,53.7,55,55.7,56.9,57.4,58.2
0:02,2,1,57.0673,0.03568,2.0362,52.3,53.2,53.7,55,55.7,57.1,58.4,59.2,60.4,60.9,61.8
0:03,3,1,59.8029,0.0352,2.1051,54.9,55.8,56.3,57.6,58.4,59.8,61.2,62,63.3,63.8,64.7
0:04,4,1,62.0899,0.03486,2.1645,57.1,58,58.5,59.8,60.6,62.1,63.5,64.3,65.7,66.2,67.1
0:05,5,1,64.0301,0.03463,2.2174,58.9,59.9,60.4,61.7,62.5,64,65.5,66.3,67.7,68.2,69.2
0:06,6,1,65.7311,0.03448,2.2664,60.5,61.5,62,63.4,64.2,65.7,67.3,68.1,69.5,70,71
0:07,7,1,67.2873,0.03441,2.3154,61.9,62.9,63.5,64.9,65.7,67.3,68.8,69.7,71.1,71.6,72.7
0:08,8,1,68.7498,0.0344,2.365,63.2,64.3,64.9,66.3,67.2,68.7,70.3,71.2,72.6,73.2,74.3
0:09,9,1,70.1435,0.03444,2.4157,64.5,65.6,66.2,67.6,68.5,70.1,71.8,72.6,74.1,74.7,75.8
0:10,10,1,71.4818,0.03452,2.4676,65.7,66.8,67.4,68.9,69.8,71.5,73.1,74,75.5,76.1,77.2
0:11,11,1,72.771,0.03464,2.5208,66.9,68,68.6,70.2,71.1,72.8,74.5,75.4,76.9,77.5,78.6
1:00,12,1,74.015,0.03479,2.575,68,69.2,69.8,71.3,72.3,74,75.8,76.7,78.3,78.9,80
1:01,13,1,75.2176,0.03496,2.6296,69.1,70.3,70.9,72.5,73.4,75.2,77,77.9,79.5,80.2,81.3
1:02,14,1,76.3817,0.03514,2.6841,70.1,71.3,72,73.6,74.6,76.4,78.2,79.2,80.8,81.4,82.6
1:03,15,1,77.5099,0.03534,2.7392,71.1,72.4,73,74.7,75.7,77.5,79.4,80.3,82,82.7,83.9
1:04,16,1,78.6055,0.03555,2.7944,72.1,73.3,74,75.7,76.7,78.6,80.5,81.5,83.2,83.9,85.1
1:05,17,1,79.671,0.03576,2.849,73,74.3,75,76.7,77.7,79.7,81.6,82.6,84.4,85,86.3
1:06,18,1,80.7079,0.03598,2.9039,74,75.2,75.9,77.7,78.7,80.7,82.7,83.7,85.5,86.2,87.5
