Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:03,3,-0.3033,7.6899,0.1702,5.3,5.7,5.9,6.5,6.9,7.7,8.6,9.2,10.3,10.8,11.7
00:04,4,-0.3278,7.4968,0.17097,5.2,5.5,5.7,6.3,6.7,7.5,8.4,9,10.1,10.5,11.5
00:05,5,-0.3503,7.3207,0.17167,5,5.4,5.6,6.2,6.5,7.3,8.2,8.8,9.9,10.3,11.3
00:06,6,-0.3712,7.1588,0.17232,4.9,5.3,5.5,6,6.4,7.2,8.1,8.6,9.7,10.1,11
00:07,7,-0.3909,7.0104,0.17293,4.8,5.2,5.4,5.9,6.3,7,7.9,8.4,9.5,9.9,10.9
00:08,8,-0.4097,6.8753,0.17352,4.7,5.1,5.2,5.8,6.1,6.9,7.8,8.3,9.3,9.8,10.7
00:09,9,-0.4276,6.753,0.17408,4.6,5,5.2,5.7,6,6.8,7.6,8.1,9.2,9.6,10.5
00:10,10,-0.4449,6.6428,0.17462,4.6,4.9,5.1,5.6,5.9,6.6,7.5,8,9,9.5,10.4
00:11,11,-0.4616,6.5442,0.17514,4.5,4.8,5,5.5,5.8,6.5,7.4,7.9,8.9,9.4,10.3
01:00,12,-0.4777,6.4562,0.17564,4.4,4.8,4.9,5.4,5.8,6.5,7.3,7.8,8.8,9.2,10.2
01:01,13,-0.4934,6.378,0.17613,4.4,4.7,4.9,5.4,5.7,6.4,7.2,7.7,8.7,9.2,10.1
01:02,14,-0.5087,6.3085,0.1766,4.3,4.6,4.8,5.3,5.6,6.3,7.1,7.6,8.6,9.1,10
01:03,15,-0.5236,6.2468,0.17707,4.3,4.6,4.8,5.2,5.6,6.2,7.1,7.6,8.6,9,9.9
01:04,16,-0.5381,6.1921,0.17752,4.3,4.6,4.7,5.2,5.5,6.2,7,7.5,8.5,8.9,9.9
01:05,17,-0.5524,6.1435,0.17797,4.2,4.5,4.7,5.2,5.5,6.1,7,7.5,8.5,8.9,9.8
01:06,18,-0.5663,6.1003,0.1784,4.2,4.5,4.7,5.1,5.4,6.1,6.9,7.4,8.4,8.9,9.8
01:07,19,-0.58,6.0617,0.17883,4.2,4.5,4.6,5.1,5.4,6.1,6.9,7.4,8.4,8.8,9.8
01:08,20,-0.5934,6.0274,0.17925,4.2,4.4,4.6,5.1,5.4,6,6.8,7.3,8.3,8.8,9.7
01:09,21,-0.6066,5.9972,0.17966,4.1,4.4,4.6,5,5.3,6,6.8,7.3,8.3,8.8,9.7
01:10,22,-0.6196,5.9706,0.18006,4.1,4.4,4.5,5,5.3,6,6.8,7.3,8.3,8.7,9.7
01:11,23,-0.6324,5.947,0.18046,4.1,4.4,4.5,5,5.3,5.9,6.8,7.3,8.3,8.7,9.7
02:00,24,-0.6449,5.9258,0.18085,4.1,4.4,4.5,5,5.3,5.9,6.7,7.2,8.2,8.7,9.7
02:01,25,-0.6573,5.9067,0.18124,4.1,4.3,4.5,4.9,5.3,5.9,6.7,7.2,8.2,8.7,9.7
02:02,26,-0.6695,5.8891,0.18162,4.1,4.3,4.5,4.9,5.2,5.9,6.7,7.2,8.2,8.7,9.7
02:03,27,-0.6816,5.8729,0.18199,4,4.3,4.5,4.9,5.2,5.9,6.7,7.2,8.2,8.7,9.7
02:04,28,-0.6935,5.8576,0.18237,4,4.3,4.5,4.9,5.2,5.9,6.7,7.2,8.2,8.7,9.7
02:05,29,-0.7053,5.8431,0.18273,4,4.3,4.4,4.9,5.2,5.8,6.6,7.2,8.2,8.7,9.7
02:06,30,-0.7169,5.829,0.18309,4,4.3,4.4,4.9,5.2,5.8,6.6,7.1,8.2,8.7,9.7
02:07,31,-0.7283,5.815,0.18345,4,4.3,4.4,4.9,5.2,5.8,6.6,7.1,8.2,8.7,9.7
02:08,32,-0.7397,5.8011,0.18381,4,4.3,4.4,4.9,5.2,5.8,6.6,7.1,8.2,8.6,9.7
02:09,33,-0.7509,5.787,0.18416,4,4.3,4.4,4.8,5.1,5.8,6.6,7.1,8.2,8.6,9.7
02:10,34,-0.762,5.7727,0.1845,4,4.2,4.4,4.8,5.1,5.8,6.6,7.1,8.2,8.6,9.7
02:11,35,-0.773,5.758,0.18485,4,4.2,4.4,4.8,5.1,5.8,6.6,7.1,8.1,8.6,9.7
03:00,36,-0.7839,5.743,0.18519,4,4.2,4.4,4.8,5.1,5.7,6.5,7.1,8.1,8.6,9.7
03:01,37,-0.7947,5.7278,0.18552,4,4.2,4.4,4.8,5.1,5.7,6.5,7.1,8.1,8.6,9.7
03:02,38,-0.8054,5.7125,0.18585,3.9,4.2,4.3,4.8,5.1,5.7,6.5,7,8.1,8.6,9.7
03:03,39,-0.8159,5.6971,0.18618,3.9,4.2,4.3,4.8,5.1,5.7,6.5,7,8.1,8.6,9.7
03:04,40,-0.8264,5.6815,0.18651,3.9,4.2,4.3,4.7,5,5.7,6.5,7,8.1,8.6,9.7
03:05,41,-0.8368,5.6658,0.18684,3.9,4.2,4.3,4.7,5,5.7,6.5,7,8.1,8.6,9.7
03:06,42,-0.8471,5.65,0.18716,3.9,4.2,4.3,4.7,5,5.6,6.5,7,8.1,8.6,9.7
03:07,43,-0.8574,5.6339,0.18748,3.9,4.1,4.3,4.7,5,5.6,6.4,7,8.1,8.6,9.7
03:08,44,-0.8675,5.6174,0.18779,3.9,4.1,4.3,4.7,5,5.6,6.4,7,8,8.6,9.7
03:09,45,-0.8775,5.6006,0.18811,3.9,4.1,4.3,4.7,5,5.6,6.4,6.9,8,8.6,9.7
03:10,46,-0.8875,5.5834,0.18842,3.9,4.1,4.2,4.7,4.9,5.6,6.4,6.9,8,8.5,9.7
03:11,47,-0.8974,5.5659,0.18873,3.8,4.1,4.2,4.6,4.9,5.6,6.4,6.9,8,8.5,9.7
04:00,48,-0.9073,5.5482,0.18903,3.8,4.1,4.2,4.6,4.9,5.5,6.4,6.9,8,8.5,9.7
04:01,49,-0.917,5.5303,0.18934,3.8,4.1,4.2,4.6,4.9,5.5,6.3,6.9,8,8.5,9.7
04:02,50,-0.9267,5.5125,0.18964,3.8,4.1,4.2,4.6,4.9,5.5,6.3,6.8,8,8.5,9.7
04:03,51,-0.9363,5.4948,0.18994,3.8,4,4.2,4.6,4.9,5.5,6.3,6.8,8,8.5,9.7
04:04,52,-0.9459,5.4774,0.19024,3.8,4,4.2,4.6,4.9,5.5,6.3,6.8,7.9,8.5,9.7
04:05,53,-0.9554,5.4606,0.19053,3.8,4,4.2,4.6,4.8,5.5,6.3,6.8,7.9,8.5,9.7
04:06,54,-0.9648,5.4443,0.19083,3.8,4,4.1,4.5,4.8,5.4,6.2,6.8,7.9,8.5,9.7
04:07,55,-0.9742,5.4288,0.19112,3.8,4,4.1,4.5,4.8,5.4,6.2,6.8,7.9,8.5,9.7
04:08,56,-0.9835,5.414,0.19141,3.7,4,4.1,4.5,4.8,5.4,6.2,6.8,7.9,8.4,9.7
04:09,57,-0.9928,5.4,0.1917,3.7,4,4.1,4.5,4.8,5.4,6.2,6.7,7.9,8.4,9.7
04:10,58,-1.002,5.3868,0.19199,3.7,4,4.1,4.5,4.8,5.4,6.2,6.7,7.9,8.4,9.7
