Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:03,3,-0.2026,7.7846,0.18428,5.2,5.6,5.8,6.5,6.9,7.8,8.8,9.5,10.6,11.2,12.2
00:04,4,-0.2577,7.5405,0.1843,5,5.4,5.6,6.3,6.7,7.5,8.6,9.2,10.3,10.8,11.9
00:05,5,-0.302,7.3384,0.18428,4.9,5.3,5.5,6.1,6.5,7.3,8.3,8.9,10.1,10.6,11.6
00:06,6,-0.3394,7.1637,0.18425,4.8,5.2,5.4,6,6.3,7.2,8.1,8.7,9.9,10.4,11.4
00:07,7,-0.3718,7.0118,0.18421,4.7,5.1,5.3,5.8,6.2,7,8,8.5,9.7,10.2,11.2
00:08,8,-0.4005,6.8807,0.18412,4.6,5,5.2,5.7,6.1,6.9,7.8,8.4,9.5,10,11
00:09,9,-0.4263,6.7679,0.18399,4.6,4.9,5.1,5.6,6,6.8,7.7,8.3,9.4,9.8,10.9
00:10,10,-0.4498,6.6707,0.18387,4.5,4.8,5,5.6,5.9,6.7,7.6,8.1,9.2,9.7,10.7
00:11,11,-0.4713,6.5867,0.18381,4.5,4.8,5,5.5,5.8,6.6,7.5,8,9.1,9.6,10.6
01:00,12,-0.4912,6.5138,0.18383,4.4,4.7,4.9,5.4,5.8,6.5,7.4,8,9,9.5,10.5
01:01,13,-0.5098,6.4505,0.18394,4.4,4.7,4.9,5.4,5.7,6.5,7.3,7.9,9,9.4,10.5
01:02,14,-0.5272,6.3955,0.18415,4.3,4.7,4.8,5.3,5.7,6.4,7.3,7.8,8.9,9.4,10.4
01:03,15,-0.5435,6.3474,0.18446,4.3,4.6,4.8,5.3,5.6,6.3,7.2,7.8,8.8,9.3,10.3
01:04,16,-0.559,6.3055,0.18487,4.3,4.6,4.8,5.3,5.6,6.3,7.2,7.7,8.8,9.3,10.3
01:05,17,-0.5736,6.2689,0.18538,4.3,4.6,4.7,5.2,5.6,6.3,7.1,7.7,8.8,9.2,10.3
01:06,18,-0.5876,6.2373,0.18598,4.2,4.5,4.7,5.2,5.5,6.2,7.1,7.7,8.7,9.2,10.3
