Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:03,3,0.0027,9.7639,0.16618,6.6,7.1,7.4,8.2,8.7,9.8,10.9,11.6,12.8,13.3,14.4
00:04,4,-0.0165,9.584,0.17264,6.4,6.9,7.2,8,8.5,9.6,10.8,11.5,12.7,13.3,14.3
00:05,5,-0.0326,9.3885,0.17824,6.2,6.7,7,7.8,8.3,9.4,10.6,11.3,12.6,13.2,14.3
00:06,6,-0.0466,9.1729,0.18304,6,6.5,6.8,7.6,8.1,9.2,10.4,11.1,12.4,13,14.1
00:07,7,-0.059,8.9535,0.18685,5.8,6.3,6.6,7.4,7.9,9,10.2,10.9,12.2,12.8,13.9
00:08,8,-0.0703,8.7435,0.18968,5.7,6.1,6.4,7.2,7.7,8.7,9.9,10.7,12,12.5,13.7
00:09,9,-0.0806,8.5518,0.19166,5.5,6,6.3,7,7.5,8.6,9.7,10.4,11.8,12.3,13.5
00:10,10,-0.0901,8.3812,0.193,5.4,5.9,6.1,6.9,7.4,8.4,9.6,10.3,11.6,12.1,13.3
00:11,11,-0.099,8.2323,0.19389,5.3,5.8,6,6.7,7.2,8.2,9.4,10.1,11.4,11.9,13.1
01:00,12,-0.1073,8.1041,0.19453,5.2,5.7,5.9,6.6,7.1,8.1,9.2,9.9,11.2,11.8,12.9
01:01,13,-0.1152,7.9958,0.19506,5.1,5.6,5.8,6.5,7,8,9.1,9.8,11.1,11.6,12.7
01:02,14,-0.1227,7.9064,0.19558,5.1,5.5,5.8,6.5,6.9,7.9,9,9.7,11,11.5,12.6
01:03,15,-0.1297,7.8345,0.19612,5,5.5,5.7,6.4,6.9,7.8,9,9.6,10.9,11.4,12.5
01:04,16,-0.1365,7.7781,0.19668,5,5.4,5.7,6.4,6.8,7.8,8.9,9.6,10.8,11.4,12.5
01:05,17,-0.143,7.7351,0.19728,5,5.4,5.6,6.3,6.8,7.7,8.8,9.5,10.8,11.3,12.4
01:06,18,-0.1492,7.7036,0.19793,4.9,5.4,5.6,6.3,6.7,7.7,8.8,9.5,10.8,11.3,12.4
01:07,19,-0.1552,7.6821,0.19862,4.9,5.3,5.6,6.3,6.7,7.7,8.8,9.5,10.7,11.3,12.4
01:08,20,-0.1609,7.6697,0.19937,4.9,5.3,5.6,6.3,6.7,7.7,8.8,9.5,10.7,11.3,12.4
01:09,21,-0.1665,7.6652,0.20018,4.9,5.3,5.6,6.3,6.7,7.7,8.8,9.5,10.8,11.3,12.4
01:10,22,-0.1719,7.6675,0.20105,4.9,5.3,5.6,6.2,6.7,7.7,8.8,9.5,10.8,11.3,12.5
01:11,23,-0.1771,7.675,0.20196,4.9,5.3,5.6,6.2,6.7,7.7,8.8,9.5,10.8,11.4,12.5
02:00,24,-0.1821,7.6863,0.20293,4.9,5.3,5.6,6.3,6.7,7.7,8.8,9.5,10.8,11.4,12.6
02:01,25,-0.187,7.7003,0.20394,4.9,5.3,5.6,6.3,6.7,7.7,8.9,9.6,10.9,11.5,12.7
02:02,26,-0.1918,7.7156,0.20497,4.9,5.3,5.6,6.3,6.7,7.7,8.9,9.6,10.9,11.5,12.7
02:03,27,-0.1965,7.7312,0.20603,4.9,5.3,5.6,6.3,6.7,7.7,8.9,9.6,11,11.6,12.8
02:04,28,-0.201,7.7463,0.2071,4.9,5.3,5.6,6.3,6.7,7.7,8.9,9.6,11,11.6,12.9
02:05,29,-0.2054,7.7602,0.20818,4.9,5.3,5.6,6.3,6.8,7.8,8.9,9.7,11.1,11.7,12.9
02:06,30,-0.2097,7.7726,0.20928,4.9,5.3,5.6,6.3,6.8,7.8,9,9.7,11.1,11.7,13
02:07,31,-0.2139,7.7832,0.21039,4.9,5.3,5.6,6.3,6.8,7.8,9,9.7,11.2,11.8,13.1
02:08,32,-0.218,7.792,0.21153,4.9,5.3,5.6,6.3,6.8,7.8,9,9.8,11.2,11.8,13.1
02:09,33,-0.2221,7.7989,0.21269,4.9,5.3,5.6,6.3,6.8,7.8,9,9.8,11.2,11.9,13.2
02:10,34,-0.226,7.804,0.21389,4.9,5.3,5.6,6.3,6.8,7.8,9,9.8,11.3,11.9,13.2
02:11,35,-0.2299,7.8074,0.21513,4.9,5.3,5.6,6.3,6.8,7.8,9,9.8,11.3,11.9,13.3
03:00,36,-0.2336,7.8094,0.21641,4.9,5.3,5.5,6.3,6.8,7.8,9.1,9.8,11.3,12,13.3
03:01,37,-0.2374,7.8101,0.21773,4.8,5.3,5.5,6.3,6.8,7.8,9.1,9.8,11.4,12,13.4
03:02,38,-0.241,7.8096,0.21909,4.8,5.3,5.5,6.3,6.8,7.8,9.1,9.9,11.4,12.1,13.5
03:03,39,-0.2446,7.808,0.22049,4.8,5.3,5.5,6.3,6.7,7.8,9.1,9.9,11.4,12.1,13.5
03:04,40,-0.2481,7.8051,0.22194,4.8,5.2,5.5,6.2,6.7,7.8,9.1,9.9,11.4,12.1,13.6
03:05,41,-0.2515,7.8009,0.22343,4.8,5.2,5.5,6.2,6.7,7.8,9.1,9.9,11.5,12.2,13.6
03:06,42,-0.2549,7.7954,0.22496,4.8,5.2,5.5,6.2,6.7,7.8,9.1,9.9,11.5,12.2,13.7
03:07,43,-0.2583,7.7885,0.22653,4.8,5.2,5.5,6.2,6.7,7.8,9.1,9.9,11.5,12.2,13.7
03:08,44,-0.2616,7.7804,0.22813,4.7,5.2,5.4,6.2,6.7,7.8,9.1,9.9,11.5,12.3,13.8
03:09,45,-0.2648,7.771,0.22975,4.7,5.2,5.4,6.2,6.7,7.8,9.1,9.9,11.6,12.3,13.8
03:10,46,-0.268,7.7605,0.2314,4.7,5.1,5.4,6.2,6.7,7.8,9.1,9.9,11.6,12.3,13.9
03:11,47,-0.2711,7.7489,0.23306,4.7,5.1,5.4,6.1,6.6,7.7,9.1,9.9,11.6,12.4,13.9
04:00,48,-0.2742,7.7364,0.23473,4.7,5.1,5.4,6.1,6.6,7.7,9.1,10,11.6,12.4,14
04:01,49,-0.2772,7.7233,0.23642,4.6,5.1,5.3,6.1,6.6,7.7,9.1,10,11.7,12.4,14
04:02,50,-0.2802,7.7096,0.23811,4.6,5.1,5.3,6.1,6.6,7.7,9.1,10,11.7,12.4,14.1
04:03,51,-0.2832,7.6955,0.23981,4.6,5,5.3,6.1,6.6,7.7,9.1,10,11.7,12.5,14.1
04:04,52,-0.2861,7.6812,0.24151,4.6,5,5.3,6,6.6,7.7,9.1,10,11.7,12.5,14.2
04:05,53,-0.289,7.6669,0.24322,4.5,5,5.3,6,6.5,7.7,9.1,10,11.7,12.5,14.2
04:06,54,-0.2918,7.6525,0.24494,4.5,5,5.2,6,6.5,7.7,9.1,10,11.7,12.6,14.3
04:07,55,-0.2946,7.6383,0.24666,4.5,4.9,5.2,6,6.5,7.6,9.1,10,11.8,12.6,14.3
04:08,56,-0.2974,7.6242,0.24839,4.5,4.9,5.2,5.9,6.5,7.6,9.1,10,11.8,12.6,14.4
04:09,57,-0.3001,7.6104,0.25013,4.5,4.9,5.2,5.9,6.5,7.6,9,10,11.8,12.6,14.4
04:10,58,-0.3028,7.5968,0.25186,4.4,4.9,5.1,5.9,6.4,7.6,9,10,11.8,12.7,14.5
04:11,59,-0.3055,7.5835,0.2536,4.4,4.9,5.1,5.9,6.4,7.6,9,10,11.8,12.7,14.5
05:00,60,-0.3081,7.5706,0.25533,4.4,4.8,5.1,5.9,6.4,7.6,9,10,11.9,12.7,14.6
