Year: Month,Month,L,M,S,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
00:00,0,0.3809,3.2322,0.14171,2.3,2.4,2.5,2.8,2.9,3.2,3.6,3.7,4,4.2,4.4
00:01,1,0.1714,4.1873,0.13724,3,3.2,3.3,3.6,3.8,4.2,4.6,4.8,5.2,5.4,5.7
00:02,2,0.0962,5.1282,0.13,3.8,4,4.1,4.5,4.7,5.1,5.6,5.9,6.3,6.5,6.9
00:03,3,0.0402,5.8458,0.12619,4.4,4.6,4.7,5.1,5.4,5.8,6.4,6.7,7.2,7.4,7.8
00:04,4,-0.005,6.4237,0.12402,4.8,5.1,5.2,5.6,5.9,6.4,7,7.3,7.9,8.1,8.6
00:05,5,-0.043,6.8985,0.12274,5.2,5.5,5.6,6.1,6.4,6.9,7.5,7.8,8.4,8.7,9.2
00:06,6,-0.0756,7.297,0.12204,5.5,5.8,6,6.4,6.7,7.3,7.9,8.3,8.9,9.2,9.7
00:07,7,-0.1039,7.6422,0.12178,5.8,6.1,6.3,6.7,7,7.6,8.3,8.7,9.4,9.6,10.2
00:08,8,-0.1288,7.9487,0.12181,6,6.3,6.5,7,7.3,7.9,8.6,9,9.7,10,10.6
00:09,9,-0.1507,8.2254,0.12199,6.2,6.6,6.8,7.3,7.6,8.2,8.9,9.3,10.1,10.4,11
00:10,10,-0.17,8.48,0.12223,6.4,6.8,7,7.5,7.8,8.5,9.2,9.6,10.4,10.7,11.3
00:11,11,-0.1872,8.7192,0.12247,6.6,7,7.2,7.7,8,8.7,9.5,9.9,10.7,11,11.7
01:00,12,-0.2024,8.9481,0.12268,6.8,7.1,7.3,7.9,8.2,8.9,9.7,10.2,11,11.3,12
01:01,13,-0.2158,9.1699,0.12283,6.9,7.3,7.5,8.1,8.4,9.2,10,10.4,11.3,11.6,12.3
01:02,14,-0.2278,9.387,0.12294,7.1,7.5,7.7,8.3,8.6,9.4,10.2,10.7,11.5,11.9,12.6
01:03,15,-0.2384,9.6008,0.12299,7.3,7.7,7.9,8.5,8.8,9.6,10.4,10.9,11.8,12.2,12.9
01:04,16,-0.2478,9.8124,0.12303,7.4,7.8,8.1,8.7,9,9.8,10.7,11.2,12.1,12.5,13.2
01:05,17,-0.2562,10.0226,0.12306,7.6,8,8.2,8.8,9.2,10,10.9,11.4,12.3,12.7,13.5
01:06,18,-0.2637,10.2315,0.12309,7.8,8.2,8.4,9,9.4,10.2,11.1,11.6,12.6,13,13.8
01:07,19,-0.2703,10.4393,0.12315,7.9,8.3,8.6,9.2,9.6,10.4,11.4,11.9,12.9,13.3,14.1
01:08,20,-0.2762,10.6464,0.12323,8.1,8.5,8.7,9.4,9.8,10.6,11.6,12.1,13.1,13.5,14.4
01:09,21,-0.2815,10.8534,0.12335,8.2,8.7,8.9,9.6,10,10.9,11.8,12.4,13.4,13.8,14.6
01:10,22,-0.2862,11.0608,0.1235,8.4,8.8,9.1,9.8,10.2,11.1,12,12.6,13.6,14.1,14.9
01:11,23,-0.2903,11.2688,0.12369,8.5,9,9.2,9.9,10.4,11.3,12.3,12.8,13.9,14.3,15.2
02:00,24,-0.2941,11.4775,0.1239,8.7,9.2,9.4,10.1,10.6,11.5,12.5,13.1,14.2,14.6,15.5
